entity_id,state,last_changed
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:51:02.948Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:51:34.761Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:51:44.782Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:53:07.454Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:53:17.490Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:53:20.129Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:53:30.148Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:53:50.340Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:54:00.370Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:54:01.734Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:54:11.762Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T14:57:59.932Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T14:58:09.983Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T15:00:39.372Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T15:01:02.426Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T15:01:04.334Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T15:01:14.382Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T15:01:52.809Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T15:02:02.843Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T15:15:19.771Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T15:15:29.824Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T15:47:30.651Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T15:47:50.742Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:01:06.965Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:01:33.395Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:03:29.894Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:03:39.939Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:04:19.499Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:04:35.611Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:04:38.867Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:05:10.645Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:05:29.461Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:05:48.096Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:19:24.512Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:19:46.550Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:19:55.436Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:20:10.514Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:20:15.381Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:20:35.480Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T16:45:08.566Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T16:45:31.280Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T17:50:41.796Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T17:50:51.075Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:03:27.247Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:03:37.266Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:04:32.321Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:04:42.345Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:06:30.155Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:06:40.164Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:07:48.691Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:08:20.376Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:08:21.171Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:08:30.787Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:08:57.066Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:09:39.198Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:12:22.357Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:12:32.382Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:18:59.791Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:19:09.795Z
binary_sensor.sonoff_a4800f1cb7,on,2026-03-10T18:19:22.035Z
binary_sensor.sonoff_a4800f1cb7,off,2026-03-10T18:19:37.061Z
